name,latitude,longitude,address,barangay
BARANGAY 1 MULTI-PURPOSE HALL,13.938781,121.610186,BARANGAY 1,Barangay 1 (Pob.)
LUCENA NORTH 1 ELEMENTARY SCHOOL,13.9390409,121.6107709,"PUROK RIVERSIDE, BARANGAY 1",Barangay 1 (Pob.)
OUR LADY OF MIRACULOUS MEDAL CHAPEL,13.92994424,121.6173023,BARANGAY 9,Barangay 10 (Pob.)
CAPITOL BUILDING,13.92848634,121.6133593,"DOÑA VICTORIA ST., BARANGAY 10",Barangay 10 (Pob.)
BARANGAY 10 BARANGAY HALL,13.92852348,121.6151161,"PUROK ROSAL 1, BARANGAY 10",Barangay 10 (Pob.)
LUCENA EAST 7 ELEMENTARY SCHOOL,13.92853961,121.6151696,"PUROK ROSAL 1, BARANGAY 10",Barangay 10 (Pob.)
LUCENA NORTH 3 ELEMENTARY SCHOOL,13.93872769,121.6111285,BARANGAY 11,Barangay 11 (Pob.)
BARANGAY 11 BRGY HALL,13.9427677,121.6136233,BARANGAY 11,Barangay 11 (Pob.)
BARANGAY 11 DAY CARE CENTER,13.94241847,121.6136776,BARANGAY 11,Barangay 11 (Pob.)
LUCENA NORTH 2 ELEMENTARY SCHOOL,13.93857045,121.615954,"PUROK SANTOLAN BATA, BARANGAY 2",Barangay 2 (Pob.)
BARANGAY 3 DAYCARE CENTER,13.938295,121.610031,BARANGAY 3,Barangay 3 (Pob.)
BARANGAY 3 HEALTH CENTER,13.93826,121.610089,BARANGAY 3,Barangay 3 (Pob.)
CATHEDRAL CATHOLIC CENTER BLDG. (3C'C),13.93619905,121.6129962,BARANGAY 5,Barangay 4 (Pob.)
EDIFICIO DE SAN FERNANDO BLDG.,13.93545882,121.6124929,BARANGAY 5,Barangay 4 (Pob.)
PUNZALAN GYM,13.93561539,121.6090985,"PUROK MALIGAYA, BARANGAY 5",Barangay 5 (Pob.)
BARANGAY 6 BRGY HALL,13.93543555,121.6150773,BARANGAY 6,Barangay 6 (Pob.)
LUCENA EAST 2 ELEMENTARY SCHOOL,13.932569,121.6105431,BARANGAY 7,Barangay 7 (Pob.)
OLD BARANGAY HALL,13.93654464,121.6115344,BARANGAY 7,Barangay 7 (Pob.)
LUCENA EAST 4 ELEMENTARY INTEGRATED SCHOOL,13.93014013,121.6114435,"LAGOS ST., BARANGAY 8",Barangay 8 (Pob.)
LUCENA EAST 6 ELEMENTARY SCHOOL,13.93087035,121.6111539,BARANGAY 8,Barangay 8 (Pob.)
BARANGAY 8 BRGY HALL,13.92950162,121.6108011,"LAGOS ST., BARANGAY 8",Barangay 8 (Pob.)
LUCENA EAST 4 ELEMENTARY SCHOOL,13.93016226,121.6114435,"PUROK PAGKAKAISA, BARANGAY 8",Barangay 8 (Pob.)
BARANGAY 9 BRGY HALL,13.92970463,121.6188007,BARANGAY 9,Barangay 9 (Pob.)
MILAGROSA CHAPEL,13.92989862,121.6172173,BARANGAY 9,Barangay 9 (Pob.)
LUCENA EAST 7 ELEMENTARY SCHOOL - ANNEX,13.92853336,121.6151217,"MILAGROSA SUBD., BARANGAY 9",Barangay 9 (Pob.)
MULTI-PURPOSE HALL,13.9328576,121.6174765,"MILAGROSA SUBD., BARANGAY 9",Barangay 9 (Pob.)
BARRA COVERED COURT,13.92479901,121.6137637,"PUROK 1, BARANGAY BARRA",Barra
BARRA BRGY HALL,13.89839472,121.6050159,"PUROK 2, BARANGAY BARRA",Barra
OLD PHILHEALTH BUILDING,13.95480773,121.5883352,"PUROK 1, BARANGAY BOCOHAN",Bocohan
BOCOHAN ELEMENTARY SCHOOL,13.95773561,121.5934727,"PUROK 2, BARANGAY BOCOHAN",Bocohan
GULANG-GULANG NATIONAL HIGH SCHOOL - BOCOHAN EXTENSION,13.94360935,121.6081315,"PUROK 2, BARANGAY BOCOHAN",Bocohan
MJD FARM,13.95701035,121.5936031,"PUROK 2, BARANGAY BOCOHAN",Bocohan
COTTA BARANGAY HALL,13.92475967,121.6134864,"PUROK MASIKAP, BARANGAY COTTA",Cotta
COTTA COVERED COURT,13.92480654,121.6138224,"PUROK MASIKAP, BARANGAY COTTA",Cotta
LUCENA SOUTH 2 ELEMENTARY SCHOOL,13.92047117,121.6114791,"PUROK PINAG-ISA, BARANGAY COTTA",Cotta
COTTA NATIONAL HIGH SCHOOL,13.92032683,121.6121996,"PUROK PUTTING BUHANGIN, BARANGAY COTTA",Cotta
LUCENA SOUTH 1 ELEMENTARY SCHOOL,13.91825794,121.6078473,"PUROK TULUNGAN, BARANGAY COTTA",Cotta
ST. JUDE THADDEUS PARISH,13.91762551,121.607273,"PUROK TULUNGAN, BARANGAY COTTA",Cotta
DALAHICAN COVERED COURT,13.92231181,121.6210291,BARANGAY DALAHICAN,Dalahican
PHILIPPINE PORTS AUTHORITY,13.93877716,121.6136489,BARANGAY DALAHICAN,Dalahican
DALAHICAN 3 DAY CARE CENTER,13.90880613,121.6166578,"PUROK 1A, BARANGAY DALAHICAN",Dalahican
DALAHICAN ELEMENTARY SCHOOL - ANNEX,13.90883299,121.6244095,"PUROK 1A, BARANGAY DALAHICAN",Dalahican
CONTAINER VAN,13.91226336,121.6176498,"Purok 6, BARANGAY DALAHICAN",Dalahican
LUCENA DALAHICAN NATIONAL HIGH SCHOOL,13.90970696,121.616485,PUROK 7,Dalahican
CONSTANTINO BUILDING,13.91157469,121.6165786,"PUROK 7, BARANGAY DALAHICAN",Dalahican
DALAHICAN ELEMENTARY SCHOOL,13.91248773,121.6172555,"PUROK 7, BARANGAY DALAHICAN",Dalahican
ST. RAFAEL ARCHANGEL CHURCH,13.91396096,121.6164827,"PUROK 7, BARANGAY DALAHICAN",Dalahican
GULANG-GULANG NATIONAL HIGH SCHOOL - DOMOIT EXTENSION,13.94359178,121.6080866,"PUROK ROSAS, BARANGAY DOMOIT",Domoit
THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,13.94329677,121.6133595,"DOÑA AURORA BLVD., BARANGAY GULANG- GULANG",Gulang-gulang
GULANG-GULANG ELEMENTARY SCHOOL,13.96025279,121.6096768,"DOÑA AURORA BLVD., DIVERSION ROAD, BARANGAY GULANG-GULANG",Gulang-gulang
BRGY MULTI-PURPOSE HALL,13.95567754,121.6114359,"PUROK BAGONG SILANG, BARANGAY GULANG- GULANG",Gulang-gulang
RIVERSIDE MULTI-PURPOSE HALL,13.94366396,121.6128266,"PUROK RIVERSIDE, BARANGAY GULANG-GULANG",Gulang-gulang
GULANG-GULANG NATIONAL HIGH SCHOOL,13.95330624,121.6080718,"PUROK UNSON IBABA, BARANGAY GULANG- GULANG",Gulang-gulang
STO. ROSARIO CHAPEL,13.95362872,121.6193618,"PUROK KARACHI, BARANGAY IBABANG DUPAY",Ibabang Dupay
UVHAI EVACUATION CENTER,13.96285775,121.6176559,"PUROK KARACHI, BARANGAY IBABANG DUPAY",Ibabang Dupay
IBABANG DUPAY BARANGAY HALL,13.93917022,121.623792,"PUROK LITTLE BAGUIO 2, BARANGAY IBABANG DUPAY",Ibabang Dupay
MARKTOWN DAY CARE CENTER,13.94292824,121.619673,"PUROK MARKTOWN, BARANGAY IBABANG DUPAY",Ibabang Dupay
RIVERSIDE CHILD DEV'T CENTER,13.94054245,121.6170849,"PUROK RIVERSIDE, BARANGAY IBABANG DUPAY",Ibabang Dupay
RIVERSIDE EVACUATION CENTER,13.94054245,121.6161324,"PUROK RIVERSIDE, BARANGAY IBABANG DUPAY",Ibabang Dupay
RIVERSIDE FEEDING CENTER,13.94054245,121.6161324,"PUROK RIVERSIDE, BARANGAY IBABANG DUPAY",Ibabang Dupay
RIVERSIDE MULTI PURPOSE HALL,13.94318045,121.6161324,"PUROK RIVERSIDE, BARANGAY IBABANG DUPAY",Ibabang Dupay
DAMAYAN DAY CARE CENTER,13.917112,121.6223111,"PUROK DAMAYAN 1, BARANGAY IBABANG IYAM",Ibabang Iyam
CURVA DAY CARE CENTER,13.93182094,121.5989513,"PUROK MALIGAYA, BARANGAY IBABANG IYAM",Ibabang Iyam
IBABANG IYAM BARANGAY HALL,13.92782324,121.6006934,"PUROK PAGKAKAISA 1, BARANGAY IBABANG IYAM",Ibabang Iyam
PUROK PAGKAKAISA MULTI-PURPOSE HALL,13.93251916,121.6124898,"PUROK PAGKAKAISA 1, BARANGAY IBABANG IYAM",Ibabang Iyam
IBABANG IYAM ELEMENTARY SCHOOL - EXTENSION,13.93251916,121.6088464,"PUROK RAINBOW, BARANGAY IBABANG IYAM",Ibabang Iyam
IBABANG IYAM ELEMENTARY SCHOOL - MAIN,13.93669127,121.6088464,"PUROK RODRIGUEZ, BARANGAY IBABANG IYAM",Ibabang Iyam
SAMKAL MULTI-PURPOSE HALL,13.92839196,121.6088247,"PUROK SAMKAL, BARANGAY IBABANG IYAM",Ibabang Iyam
TALABIS HEALTH CENTER,13.92839196,121.6084814,"PUROK TALABIS, BARANGAY IBABANG IYAM",Ibabang Iyam
TALABIS MULTI PURPOSE HALL,13.9159268,121.6084814,"PUROK TALABIS, BARANGAY IBABANG IYAM",Ibabang Iyam
IBABANG TALIM ELEMENTARY SCHOOL,13.97198306,121.577738,"PUROK MASAYAHIN, BARANGAY IBABANG TALIM",Ibabang Talim
ILAYANG DUPAY ELEMENTARY SCHOOL,13.93680046,121.6237558,BARANGAY ILAYANG DUPAY,Ilayang Dupay
ILAYANG IYAM BRGY HALL,13.94436553,121.6028818,BARANGAY ILAYANG IYAM,Ilayang Iyam
GREEN JOURNEY EVACUATION CENTER,13.94707189,121.5652871,"PUROK MAULAWIN, BARANGAY ISABANG",Isabang
CUESTA VERDE COVERED COURT,13.94993221,121.5827102,"PUROK YAMBO, BARANGAY ISABANG",Isabang
ISABANG ELEMENTARY SCHOOL,13.9324439,121.5812119,"PUROK YAMBO, BARANGAY ISABANG",Isabang
ATIN-ATIN DAY CARE CENTER,13.93421436,121.6187716,"PUROK ATIN-ATIN 2, BARANGAY MARKET VIEW",Market View
TINAPA LIVELIHOOD CENTER,13.93412056,121.6207114,"PUROK GREENHILLS 2-PARANG, BARANGAY MARKET VIEW",Market View
LUCENA EAST 1 ELEMENTARY SCHOOL,13.92156893,121.6179272,"PUROK PAGKAKAISA, BARANGAY MARKET VIEW",Market View
DAPI COMMUNITY CHURCH,13.9334434,121.6415711,BARANGAY MAYAO CASTILLO,Mayao Castillo
MAYAO CASTILLO DAY CARE CENTER,13.92925459,121.6616079,BARANGAY MAYAO CASTILLO,Mayao Castillo
MAYAO CASTILLO ELEMENTARY SCHOOL,13.93343618,121.6615715,"PUROK CENTRAL, BARANGAY MAYAO CASTILLO",Mayao Castillo
PUROK ATIS EVACUATION CENTER,13.91904758,121.6237374,"PUROK ATIS 1, BARANGAY MAYAO CROSSING",Mayao Crossing
BLISS ELEMENTARY SCHOOL,13.92612186,121.6212695,"PUROK LANGKA 1, BARANGAY MAYAO CROSSING",Mayao Crossing
MAYAO CROSSING ELEMENTARY SCHOOL,13.94310588,121.623259,"PUROK LANGKA 1, BARANGAY MAYAO CROSSING",Mayao Crossing
YOUNG LEARNERS' HOME,13.93445186,121.6243389,None,Mayao Kanluran
MAYAO PARADA NATIONAL HIGH SCHOOL,13.95460909,121.6452917,BARANGAY MAYAO PARADA,Mayao Parada
MAYAO SILANGAN BARANGAY HALL,13.95974398,121.6471341,"PUROK DAMA DE NOCHE, BARANGAY MAYAO SILANGAN",Mayao Silangan
ELLIPSE BUILDING,13.96376105,121.6438281,"PUROK ILANG-ILANG 2, BARANGAY MAYAO SILANGAN",Mayao Silangan
HERMANA FAUSTA ELEMENTARY SCHOOL,13.94710405,121.6488326,"PUROK ILANG-ILANG 2, BARANGAY MAYAO SILANGAN",Mayao Silangan
LUCENA CITY NATIONAL HIGH SCHOOL - MAYAO SILANGAN EXT.,13.89589361,121.645453,"PUROK ROSAL 1, BARANGAY MAYAO SILANGAN",Mayao Silangan
RANSOHAN DAY CARE CENTER,13.89481047,121.596041,BARANGAY RANSOHAN,Ransohan
RANSOHAN INTEGRATED SCHOOL,13.89481047,121.5915778,BARANGAY RANSOHAN,Ransohan
SALINAS ELEMENTARY SCHOOL,13.90980309,121.5915778,BARANGAY SALINAS,Salinas
TALAO-TALAO ELEMENTARY SCHOOL,13.91036463,121.6453797,BARANGAY TALAO-TALAO,Talao-talao
TALAO-TALAO BARANGAY HALL,13.91036463,121.6453456,"PUROK MASAGANA 1, BARANGAY TALAO-TALAO",Talao-talao
TALAO-TALAO BARANGAY HEALTH CENTER,13.90820214,121.6453456,"PUROK MASAGANA 1, BARANGAY TALAO-TALAO",Talao-talao
LEVY MALLARI WHITE HOUSE,13.90979694,121.6392048,"PUROK PITONG-GATANG, BARANGAY TALAO- TALAO",Talao-talao
TALAO-TALAO DAY CARE CENTER,13.90979694,121.6453495,"PUROK SAN ROQUE, BARANGAY TALAO-TALAO",Talao-talao
